Profile Name,Grid Configuration,Num FMAs,Total Ops,MemorySize (MB),L1 Throughput,L2 Throughput,DRAM Throughput,L1 Loads,L1 Stores,L1 Requests,L1 Hit Rate,L2 Loads,L2 Stores,L2 Fabric,L2 Requests,L2 Hit Rate,HBM Load,HBM Store,HBM Requests,Mem  Transfer (MB),Mem BW (MB/s)
1_1_1,(1x1x1) x (1x1x1),1," 262,144 ",1, 3.1 , -   , -   ," 393,216 "," 131,072 "," 524,288 ", 93.0 ," 32,769 "," 131,072 "," 74,828 "," 238,669 ", 87.0 ," 32,864 ", -   ," 32,864 ", 1.1 , 6 
1_1_8,(1x1x1) x (1x1x1),8," 2,097,152 ",1, 5.5 , 0.1 , -   ," 2,228,224 "," 1,048,576 "," 3,276,800 ", 99.0 ," 32,769 "," 1,048,576 "," 534,476 "," 1,615,821 ", 97.9 ," 34,916 ", -   ," 34,916 ", 1.1 , 19 
1_8_1,(1x1x1) x (8x1x1),1," 262,144 ",1, 1.0 , 0.0 , 0.0 ," 49,152 "," 16,384 "," 65,536 ", 50.0 ," 32,769 "," 16,384 "," 17,372 "," 66,525 ", 61.7 ," 32,864 ", -   ," 32,864 ", 1.1 , 160 
1_1_1,(1x1x1) x (1x1x1),1," 2,097,152 ",8, 3.1 , 0.0 , 0.0 ," 3,145,728 "," 1,048,576 "," 4,194,304 ", 93.8 ," 262,145 "," 1,048,576 "," 599,047 "," 1,909,768 ", 86.9 ," 262,240 ", -   ," 262,240 ", 8.4 , 64 
1_8_1,(1x1x1) x (8x1x1),1," 2,097,152 ",8, 1.0 , 0.0 ,," 393,216 "," 131,072 "," 524,288 ", 50.0 ," 262,145 "," 131,072 "," 140,295 "," 533,512 ", 58.2 ," 262,240 ", -   ," 262,240 ", 8.4 , 160 
1_32_1,(1x1x1) x (32x1x1),1," 2,097,152 ",8, 1.0 , 0.0 , 0.0 ," 98,304 "," 32,768 "," 131,072 ", 38.5 ," 65,537 "," 32,768 "," 56,532 "," 154,837 ", 35.7 ," 264,536 ", -   ," 264,536 ", 8.5 , 451 
1_64_1,(1x1x1) x (64x1x1),1," 2,097,152 ",8, 2.0 , 0.1 , 0.1 ," 98,304 "," 32,768 "," 131,072 ", 38.5 ," 65,537 "," 32,768 "," 58,247 "," 156,552 ", 35.6 ," 262,452 ", -   ," 262,452 ", 8.4 , 900 
1_32_8,(1x1x1) x (32x1x1),8," 16,777,216 ",8, 3.6 , 0.1 , 0.0 ," 557,056 "," 262,144 "," 819,200 ", 89.5 ," 65,537 "," 262,144 "," 171,700 "," 499,381 ", 80.1 ," 262,424 ", 4 ," 262,428 ", 8.4 , 286 
64_8_1,(64x1x1) x (8x1x1),1," 2,097,152 ",8, 0.7 , 1.0 , 0.7 ," 50,331,648 "," 16,777,216 "," 67,108,864 ", 50.0 ," 33,554,496 "," 16,777,216 "," 30,104,245 "," 80,435,957 ", 69.0 ," 33,568,088 "," 16,556,492 "," 50,124,580 "," 1,638.4 "," 9,865 "
64_32_1,(64x1x1) x (32x1x1),1," 268,435,456 ",1024, 0.9 , 2.1 , 2.6 ," 12,582,912 "," 4,194,304 "," 16,777,216 ", 38.5 ," 8,388,672 "," 4,194,304 "," 10,476,471 "," 23,059,447 ", 45.2 ," 33,560,388 "," 16,418,640 "," 49,979,028 "," 1,633.7 "," 38,089 "
64_32_2,(64x1x1) x (32x1x1),2," 536,870,912 ",1024, 1.4 , 2.6 , 2.4 ," 20,971,520 "," 8,388,608 "," 29,360,128 ", 63.6 ," 8,388,672 "," 8,388,608 "," 12,542,891 "," 29,320,171 ", 57.0 ," 33,556,664 "," 16,418,564 "," 49,975,228 "," 1,633.7 "," 35,616 "
64_32_4,(64x1x1) x (32x1x1),4," 1,073,741,824 ",1024, 2.3 , 3.3 , 2.1 ," 37,748,736 "," 16,777,216 "," 54,525,952 ", 80.0 ," 8,388,672 "," 16,777,216 "," 16,735,827 "," 41,901,715 ", 69.9 ," 33,560,260 "," 16,418,332 "," 49,978,592 "," 1,633.7 "," 31,452 "
64_32_8,(64x1x1) x (32x1x1),8," 2,147,483,648 ",1024, 3.5 , 4.3 , 1.7 ," 71,303,168 "," 33,554,432 "," 104,857,600 ", 89.5 ," 8,388,672 "," 33,554,432 "," 25,122,351 "," 67,065,455 ", 81.2 ," 33,561,788 "," 16,419,780 "," 49,981,568 "," 1,633.7 "," 25,358 "
4096_32_1,(4096x1x1) x (32x1x1),1," 1,073,741,824 ",4096, 11.5 , 41.6 , 53.7 ," 50,331,648 "," 16,777,216 "," 67,108,864 ", 38.5 ," 33,554,633 "," 16,777,216 "," 41,914,481 "," 92,246,330 ", 45.1 ," 134,217,916 "," 66,764,288 "," 200,982,204 "," 6,584.3 "," 795,945 "
